Analysis,Model,Train_Molecule_Count,Repeat,Train_Row_Count,Test_Row_Count,Test_Molecule_Count,R2_Train,MAE_Train,RMSE_Train,Residuals_SD_Train,R2_Test,MAE_Test,RMSE_Test,Residuals_SD_Test
MoleculeCountLearningCurve,RandomForestOpt1,40,21,3960,2250,31,0.9995900578803483,0.2828899579124573,0.437251620204214,0.4372073240901345,0.9274102111394915,3.122957792592593,5.610375446270074,5.524586886562052
MoleculeCountLearningCurve,RandomForestOpt1,40,22,3540,2670,31,0.9995604823918925,0.2856373258003773,0.45632969173402005,0.4563555718150804,0.9410284200208935,2.833514244694132,5.023726621983248,5.024189604067576
MoleculeCountLearningCurve,RandomForestOpt1,40,23,3690,2520,31,0.9995123351802476,0.3007982746160795,0.48470473123550417,0.484729596809645,0.9730138558473818,2.1508407671957666,3.3312578877374337,3.3122872049832752
MoleculeCountLearningCurve,RandomForestOpt1,40,24,3510,2700,31,0.9995673814754215,0.2843364482431142,0.4192826852985919,0.4189870917991307,0.9480579648818386,2.752358518518519,5.135600788155612,5.056343359380754
MoleculeCountLearningCurve,RandomForestOpt1,40,25,2700,3510,31,0.9995109171505914,0.3127686790123452,0.4778823641149544,0.47790068228335103,0.8066113306966809,4.75553356125356,9.186999533343984,8.727329383947746
MoleculeCountLearningCurve,RandomForestOpt1,40,26,3660,2550,31,0.9996249194968118,0.2676780601092889,0.41204592668896867,0.41205183573315957,0.9031643461366632,4.09391185620915,6.648432838005817,6.56251359897397
MoleculeCountLearningCurve,RandomForestOpt1,40,27,4170,2040,31,0.9996232255616161,0.2665355315747387,0.4151441642480887,0.41508847621248335,0.9237236036298059,3.200410310457518,5.699695665720573,5.700641269171432
MoleculeCountLearningCurve,RandomForestOpt1,40,28,3330,2880,31,0.9995807447977234,0.29005834834834676,0.4423385460598338,0.4423511735757319,0.8922365884405581,3.4055170138888875,6.880807968050908,6.753978426372456
MoleculeCountLearningCurve,RandomForestOpt1,40,29,2730,3480,31,0.9995157999987732,0.2960039194139193,0.4434646563424284,0.44352493192117226,0.9202618241136094,3.6707349042145596,6.263712391037954,6.089300863863342
MoleculeCountLearningCurve,RandomForestOpt1,40,30,3360,2850,31,0.9994771399290957,0.319301150793649,0.49794061183838734,0.497788033703894,0.944062181585905,2.7093582339181292,4.89665796437632,4.891565408998427
MoleculeCountLearningCurve,RandomForestOpt1,60,1,5430,780,11,0.9996380956302134,0.2486041866175563,0.40290317521702174,0.40293074267890233,0.915990247007416,3.7210873931623922,6.156788021930525,5.809479632752653
MoleculeCountLearningCurve,RandomForestOpt1,60,2,4830,1380,11,0.9995706963075343,0.279648709454795,0.4445440694611953,0.44451631007813586,0.9535973582146889,2.210806932367151,4.470549359124441,4.472093630236288
MoleculeCountLearningCurve,RandomForestOpt1,60,3,5220,990,11,0.999622837377027,0.2672700127713919,0.41725986124410314,0.4172751802001136,0.7552975086619194,5.243401346801347,9.98813962830835,9.518064954960117
MoleculeCountLearningCurve,RandomForestOpt1,60,4,4770,1440,11,0.9996361598506399,0.25404607966456916,0.3930487814633557,0.393056192191768,0.9635148487268625,2.4629012500000003,4.480709120905778,4.250721350934796
MoleculeCountLearningCurve,RandomForestOpt1,60,5,4950,1260,11,0.9996369150346968,0.2627067340067325,0.4071070759961675,0.40713531776423145,0.9761534214080073,1.6375574074074069,3.226540143909185,3.194335681433163
MoleculeCountLearningCurve,RandomForestOpt1,60,6,4950,1260,11,0.9996190054632572,0.2680634276094272,0.4121532360911716,0.4120871572971049,0.961763792193068,2.098901560846563,4.272896622131664,4.2312443143866245
MoleculeCountLearningCurve,RandomForestOpt1,60,7,5820,390,11,0.9996405534756904,0.25015155211912843,0.4041907445510311,0.4042233253522923,0.892179660254158,4.520162564102567,5.873349889127983,5.102239881914929
MoleculeCountLearningCurve,RandomForestOpt1,60,8,5160,1050,11,0.9996274684232024,0.26525771317829333,0.41274910801385734,0.41278267417162884,0.880075011319453,4.428632317460317,7.253675093745901,7.2033474052751485
MoleculeCountLearningCurve,RandomForestOpt1,60,9,5580,630,11,0.999615016181297,0.26582807646355905,0.42353721533225913,0.42356757490854824,0.9885638339672004,1.2208385714285694,1.9708191200100464,1.9666818463772995
MoleculeCountLearningCurve,RandomForestOpt1,60,10,4980,1230,11,0.9995819257697113,0.2795200736278436,0.44184860238086576,0.44186192088721515,0.9895904709491236,1.2326165311653121,1.9839453025482237,1.9846055486399574
MoleculeCountLearningCurve,RandomForestOpt1,60,11,5250,960,11,0.9996027673979677,0.2705019873015858,0.429369567467584,0.4293213420079713,0.9410874627531209,2.4581160763888894,4.860975068133693,4.579443831139023
MoleculeCountLearningCurve,RandomForestOpt1,60,12,5520,690,11,0.9996199957408018,0.26251512681159334,0.42036337025546744,0.4204013159602492,0.9781392964602339,1.790943236714974,2.831784138138513,2.833645876071245
MoleculeCountLearningCurve,RandomForestOpt1,60,13,5460,750,11,0.9996216168136818,0.2586017399267393,0.4177330204718683,0.4177591484835917,0.9563543053542597,2.819822711111108,4.192440676532162,4.018048978902887
MoleculeCountLearningCurve,RandomForestOpt1,60,14,5760,450,11,0.9996453145957399,0.24769250578703678,0.39727536379157996,0.3973098431635971,0.8687246691225781,4.550790666666666,6.369857477718743,6.02094665138272
MoleculeCountLearningCurve,RandomForestOpt1,60,15,5040,1170,11,0.9995605305464117,0.2872588359788346,0.4516912421846495,0.45171602864597304,0.9905295981644342,1.2992753846153835,1.8874515430796828,1.8882495337711618
MoleculeCountLearningCurve,RandomForestOpt1,60,16,5460,750,11,0.9996263841851435,0.25708666056165996,0.4120014556731568,0.41203677372544956,0.9414997147074887,3.0077614222222224,5.0282311665009845,5.016674319283324
MoleculeCountLearningCurve,RandomForestOpt1,60,17,4530,1680,11,0.9996306523264541,0.2649455481972026,0.40617614208531755,0.4061200235523552,0.9269979607933504,2.98777242063492,5.884271405190433,5.877226770974445
MoleculeCountLearningCurve,RandomForestOpt1,60,18,4920,1290,11,0.9995933235380551,0.27089898373983545,0.4359377161372331,0.4359604095139196,0.9501600216010009,2.238494883720929,4.483376409254653,4.47747683837812
MoleculeCountLearningCurve,RandomForestOpt1,60,19,5280,930,11,0.9996256509657847,0.2665733459595942,0.4162644457786932,0.41629795494563787,0.9561288826456931,2.3428704301075256,4.172281232926088,4.15829554785297
MoleculeCountLearningCurve,RandomForestOpt1,60,20,5190,1020,11,0.9996174081981074,0.25877998715478373,0.42067120983035183,0.4207074029963332,0.9081946858912148,2.752048071895424,6.1591447396285375,5.953007430886154
MoleculeCountLearningCurve,RandomForestOpt1,60,21,4710,1500,11,0.9996158080251865,0.2674905874026876,0.420060489094403,0.42001460680554187,0.8898428684461367,3.5867895333333326,6.75815881882835,6.586466729574492
MoleculeCountLearningCurve,RandomForestOpt1,60,22,5280,930,11,0.9996238167686892,0.26395169191919016,0.41696363988949575,0.41698553120394644,0.9289207180769374,2.981593655913978,5.377362981722392,4.9306419798845145
MoleculeCountLearningCurve,RandomForestOpt1,60,23,5490,720,11,0.9996899234818262,0.2399740983606549,0.36845003540749166,0.3684432405408632,0.9095103941642846,3.9737662962962963,7.141194547858736,7.085272930069852
MoleculeCountLearningCurve,RandomForestOpt1,60,24,5190,1020,11,0.9996015677446836,0.2706002569043015,0.429137808423217,0.42916411051819037,0.9748613376430121,2.0032927124183004,3.2047928014173297,3.1932953002309143
MoleculeCountLearningCurve,RandomForestOpt1,60,25,4680,1530,11,0.9995843635120789,0.2862481908831897,0.44040102574387496,0.44043133077957036,0.9472244861189851,2.153469259259259,4.402555567256936,4.400658168933952
MoleculeCountLearningCurve,RandomForestOpt1,60,26,4890,1320,11,0.9995689462393742,0.2782533128834342,0.4452097625558897,0.445186670106414,0.9564592479007298,2.172941540404041,4.331232991811072,4.130197546333336
MoleculeCountLearningCurve,RandomForestOpt1,60,27,5730,480,11,0.9996487459694565,0.24024498545666045,0.3879285165352549,0.3879559224647273,0.16279313658592798,12.05162222222222,15.498736159730566,9.879541996245933
MoleculeCountLearningCurve,RandomForestOpt1,60,28,4920,1290,11,0.9995816674961611,0.2809767411924115,0.44151062843185485,0.44153958466410037,0.9671568833662647,1.9417679069767417,3.5476283326799827,3.529512649546864
MoleculeCountLearningCurve,RandomForestOpt1,60,29,5850,360,11,0.9996477503648615,0.2510862735042731,0.4013757620900286,0.4014077580307377,0.6902393191747254,6.0013162962962925,9.085009749833056,8.714304794625612
MoleculeCountLearningCurve,RandomForestOpt1,60,30,5550,660,11,0.9996329924724133,0.2576413213213204,0.41031183730893606,0.41034405986356076,0.9541504405007318,2.6249375252525278,4.365451178598718,4.348367358584411
MoleculeCountLearningCurve,RandomForestOpt1,70,1,6180,30,1,0.9996486284641203,0.25087174757281444,0.4000868616080192,0.4001188833176351,0.8476654195379212,5.149067777777788,5.4365535474198206,1.774303795610401
MoleculeCountLearningCurve,RandomForestOpt1,70,2,6120,90,1,0.9996516466740019,0.24759126361655712,0.39413398333778915,0.3941635374324981,0.6314291912488427,6.732359259259271,8.854522203188921,6.620117947007406
MoleculeCountLearningCurve,RandomForestOpt1,70,3,6180,30,1,0.999649990261284,0.2509610787486509,0.399145495857985,0.3991777914761888,0.9996203955075053,0.2188577777777832,0.27171567615187625,0.24382212529140448
MoleculeCountLearningCurve,RandomForestOpt1,70,4,6180,30,1,0.9996497402123606,0.25097402912621264,0.399429147359049,0.39946095434107165,0.9967433383401827,0.7644788888888917,0.7951809763960823,0.22256687565011632
MoleculeCountLearningCurve,RandomForestOpt1,70,5,6150,60,1,0.9996470432224199,0.24906829268292602,0.4004521981092748,0.40048466624805407,0.981527370791302,1.5689366666666684,1.89620220077455,1.0738906876532026
MoleculeCountLearningCurve,RandomForestOpt1,70,6,6180,30,1,0.999648746068716,0.2507227831715201,0.39979312366696634,0.3998235825802715,0.9945981254905517,0.9862033333333389,1.024288388445224,0.2814427510094821
MoleculeCountLearningCurve,RandomForestOpt1,70,7,6180,30,1,0.9996525257621152,0.24951517799352668,0.39774948269549837,0.39778164320155873,0.9925292066870213,1.0155500000000033,1.2039066265780425,0.7207175806062278
MoleculeCountLearningCurve,RandomForestOpt1,70,8,6180,30,1,0.999649990261284,0.2509610787486508,0.39914549585798503,0.3991777914761889,0.9996203955075053,0.2188577777777832,0.27171567615187636,0.24382212529140457
MoleculeCountLearningCurve,RandomForestOpt1,70,9,6180,30,1,0.9996521093839805,0.2495517313915847,0.397679604031891,0.3977090362177684,0.996064781873849,0.8141577777777724,0.8742585620589138,0.3239973598508004
MoleculeCountLearningCurve,RandomForestOpt1,70,10,6180,30,1,0.9996506269167518,0.24995930420711884,0.3989994301398015,0.3990316751427373,0.9625354355255703,2.6690877777777633,2.697242026129367,0.39534138286114723
MoleculeCountLearningCurve,RandomForestOpt1,70,11,6180,30,1,0.9996525257621152,0.24951517799352674,0.3977494826954984,0.3977816432015588,0.9925292066870213,1.015550000000004,1.2039066265780427,0.720717580606229
MoleculeCountLearningCurve,RandomForestOpt1,70,12,6180,30,1,0.9996593349775719,0.2482546871628902,0.3935945346075807,0.3936221598896337,0.7602585354247375,6.296373333333333,7.0805390558963905,3.294150955865671
